,[PERIODS] (U18-54 +g|ROMANIA|02.02.2023|All|Live|All Platforms),Unnamed: 18,Unnamed: 20
1,Timebands,Digi 24,Antena 1
2,02:00 - 02:15,0.37,1.07
3,02:15 - 02:30,0.39,0.99
4,02:30 - 02:45,0.43,0.88
5,02:45 - 03:00,0.45,0.73
6,03:00 - 03:15,0.46,0.51
7,03:15 - 03:30,0.22,0.47
8,03:30 - 03:45,0.17,0.54
9,03:45 - 04:00,0.09,0.55
10,04:00 - 04:15,0.09,0.55
11,04:15 - 04:30,0.1,0.63
12,04:30 - 04:45,0.11,0.64
13,04:45 - 05:00,0.09,0.49
14,05:00 - 05:15,0.09,0.46
15,05:15 - 05:30,0.09,0.46
16,05:30 - 05:45,0.19,0.42
17,05:45 - 06:00,0.4,0.58
18,>>> 2:00 - 6:00,0.23,0.62
19,06:00 - 06:15,0.52,0.86
20,06:15 - 06:30,0.5,1.06
21,06:30 - 06:45,0.39,0.89
22,06:45 - 07:00,0.61,0.82
23,07:00 - 07:15,0.45,1.47
24,07:15 - 07:30,0.36,1.61
25,07:30 - 07:45,0.1,1.61
26,07:45 - 08:00,0.22,1.15
27,08:00 - 08:15,0.14,1.27
28,08:15 - 08:30,0.12,1.13
29,08:30 - 08:45,0.12,0.93
30,08:45 - 09:00,0.18,0.85
31,>>> 6:00 - 9:00,0.31,1.14
32,09:00 - 09:15,0.25,0.98
33,09:15 - 09:30,0.39,1.24
34,09:30 - 09:45,0.45,1.27
35,09:45 - 10:00,0.42,1.28
36,10:00 - 10:15,0.37,1.16
37,10:15 - 10:30,0.31,1.1
38,10:30 - 10:45,0.1,1.33
39,10:45 - 11:00,0.1,1.45
40,11:00 - 11:15,0.07,1.32
41,11:15 - 11:30,0.23,1.32
42,11:30 - 11:45,0.28,0.98
43,11:45 - 12:00,0.32,0.77
44,>>> 9:00 - 12:00,0.27,1.18
45,12:00 - 12:15,0.34,0.85
46,12:15 - 12:30,0.33,0.84
47,12:30 - 12:45,0.25,0.77
48,12:45 - 13:00,0.07,0.84
49,13:00 - 13:15,0.09,1.46
50,13:15 - 13:30,0.07,1.09
51,13:30 - 13:45,0.16,1.39
52,13:45 - 14:00,0.08,1.48
53,14:00 - 14:15,0.21,1.6
54,14:15 - 14:30,0.33,1.43
55,14:30 - 14:45,0.53,1.33
56,14:45 - 15:00,0.5,1.18
57,>>> 12:00 - 15:00,0.25,1.19
58,15:00 - 15:15,0.47,1.74
59,15:15 - 15:30,0.43,1.42
60,15:30 - 15:45,0.31,1.65
61,15:45 - 16:00,0.31,1.89
62,>>> 15:00 - 16:00,0.38,1.67
63,16:00 - 16:15,0.2,2.02
64,16:15 - 16:30,0.15,1.75
65,16:30 - 16:45,0.18,1.49
66,16:45 - 17:00,0.16,1.44
67,17:00 - 17:15,0.44,1.15
68,17:15 - 17:30,0.45,1.13
69,17:30 - 17:45,0.41,1.56
70,17:45 - 18:00,0.7,1.85
71,18:00 - 18:15,0.91,1.6
72,18:15 - 18:30,0.83,1.61
73,18:30 - 18:45,0.65,1.92
74,18:45 - 19:00,0.68,2.25
75,>>> 16:00 - 19:00,0.48,1.65
76,19:00 - 19:15,0.59,2.91
77,19:15 - 19:30,0.76,3.71
78,19:30 - 19:45,1.03,3.86
79,19:45 - 20:00,0.74,3.76
80,>>> 19:00 - 20:00,0.78,3.56
81,20:00 - 20:15,0.74,3.46
82,20:15 - 20:30,0.73,3.48
83,20:30 - 20:45,0.61,5.1
84,20:45 - 21:00,0.75,6.33
85,21:00 - 21:15,0.94,5.99
86,21:15 - 21:30,1.23,6.23
87,21:30 - 21:45,0.95,7.3
88,21:45 - 22:00,0.71,7.06
89,22:00 - 22:15,0.93,6.15
90,22:15 - 22:30,1.01,6.7
91,22:30 - 22:45,0.58,5.95
92,22:45 - 23:00,0.19,6.17
93,>>> 20:00 - 23:00,0.78,5.83
94,23:00 - 23:15,0.41,3.35
95,23:15 - 23:30,0.26,2.31
96,23:30 - 23:45,0.2,1.92
97,23:45 - 24:00,0.21,1.79
98,24:00 - 24:15,0.19,1.32
99,24:15 - 24:30,0.2,1.14
100,24:30 - 24:45,0.26,0.84
101,24:45 - 25:00,0.28,0.85
102,>>> 23:00 - 25:00,0.25,1.69
103,25:00 - 25:15,0.21,0.79
104,25:15 - 25:30,0.13,0.78
105,25:30 - 25:45,0.13,0.72
106,25:45 - 26:00,0.02,0.78
107,>>> 25:00 - 26:00,0.12,0.77
108,Whole day,0.37,1.87
